component;property;de;en;Dev-status
BasiGX.view.button.ToggleLegend;config.data.tooltip;Layerauswahl;Show legend; -
BasiGX.view.button.ToggleLegend;config.data.text;;; -
BasiGX.view.button.ZoomIn;config.data.tooltip;Hineinzoomen;Zoom in; -
BasiGX.view.button.ZoomIn;config.data.text;;; -
BasiGX.view.button.ZoomOut;config.data.tooltip;Herauszoomen;Zoom out; -
BasiGX.view.button.ZoomOut;config.data.text;;; -
BasiGX.view.button.ZoomToExtent;config.data.tooltip;Auf Gesamtansicht zoomen;Zoom to maximum extent; -
BasiGX.view.button.ZoomToExtent;config.data.text;;; -
BasiGX.view.combo.Language;config.data.fieldLabel;;; -
BasiGX.view.combo.ScaleCombo;config.data.fieldLabel;;; -
BasiGX.view.container.LayerSlider;config.data.disabeldLabelHtml;Aus;Off; -
BasiGX.view.container.NominatimSearch;config.data.searchTermTextFieldLabel;Suchbegriff;Search term; -
BasiGX.view.container.NominatimSearch;config.data.searchResultGridTitle;Suchergebnisse;Search results; -
BasiGX.view.container.NominatimSearch;config.data.resetBtnText;Zurücksetzen;Reset; -
BasiGX.view.container.OverpassSearch;config.data.searchTermTextFieldLabel;Suchbegriff;Search term; -
BasiGX.view.container.OverpassSearch;config.data.searchCriteriaGridTitle;Suchkategorien;Search criteria; -
BasiGX.view.container.OverpassSearch;config.data.searchCriteriaLabelTag;OSM-Tag;OSM-Tag; -
BasiGX.view.container.OverpassSearch;config.data.searchCriteriaCategoryTag;Kategorie;Category; -
BasiGX.view.container.OverpassSearch;config.data.searchCriteriaOccurenceTag;Tag-Häufigkeit;Tag-occurence; -
BasiGX.view.container.OverpassSearch;config.data.searchResultGridTitle;Suchergebnisse;Search results; -
BasiGX.view.container.OverpassSearch;config.data.resetBtnText;Zurücksetzen;Reset; -
BasiGX.view.container.OverpassSearch;config.data.noMatchesFoundErrText;Keine passenden Einträge gefunden;No matches found; -
BasiGX.view.container.RedlineStyler;config.data.pointStyleFieldSetTitle;Punktstil;Point Style; -
BasiGX.view.container.RedlineStyler;config.data.pointStyleSymbolPanelTitle;Symbol;Symbol; -
BasiGX.view.container.RedlineStyler;config.data.pointStyleRadiusNumberFieldLabel;Punktradius;Point Radius; -
BasiGX.view.container.RedlineStyler;config.data.pointStyleStrokeNumberFieldLabel;Strichstärke;Stroke Width; -
BasiGX.view.container.RedlineStyler;config.data.pointStyleStrokeColorFieldLabel;Strichfarbe;Stroke Color; -
BasiGX.view.container.RedlineStyler;config.data.pointStyleFillColorFieldLabel;Füllfarbe;Fill Color; -
BasiGX.view.container.RedlineStyler;config.data.pointStyleGraphicPanelTitle;Grafik;Graphic; -
BasiGX.view.container.RedlineStyler;config.data.pointStyleChooseImgBtnText;Grafik auswählen;Choose Image; -
BasiGX.view.container.RedlineStyler;config.data.pointStyleImgOffsetXSliderLabel;X-Versatz;Graphic Offset X; -
BasiGX.view.container.RedlineStyler;config.data.pointStyleImgOffsetYSliderLabel;Y-Versatz;Graphic Offset Y; -
BasiGX.view.container.RedlineStyler;config.data.pointStyleImgScaleSliderLabel;Skalierung;Scale; -
BasiGX.view.container.RedlineStyler;config.data.lineStyleFieldSetTitle;Linienstil;LineString Style; -
BasiGX.view.container.RedlineStyler;config.data.lineStyleStrokeNumberFieldLabel;Strichstärke;Stroke Width; -
BasiGX.view.container.RedlineStyler;config.data.lineStyleStrokeColorFieldLabel;Strichfarbe;Stroke Color; -
BasiGX.view.container.RedlineStyler;config.data.polygonStyleFieldSetTitle;Flächenstil;Polygon Style; -
BasiGX.view.container.RedlineStyler;config.data.polygonStyleStrokeNumberFieldLabel;Strichstärke;Stroke Width; -
BasiGX.view.container.RedlineStyler;config.data.polygonStyleStrokeColorFieldLabel;Strichfarbe;Stroke Color; -
BasiGX.view.container.RedlineStyler;config.data.polygonStyleFillColorFieldLabel;Füllfarbe;Fill Color; -
BasiGX.view.container.RedlineStyler;config.data.pointGrapicDeletedSuccessMsgText;Die Grafik wurden entfernt. Bitte wählen Sie eine neue aus.;The icon has been deleted. Please reassign a new one.; -
BasiGX.view.container.RedlineStyler;config.data.pointGrapicDeletedSuccessMsgTitle;Löschen erfolgreich;Deletion succesfull; -
BasiGX.view.container.RedlineStyler;config.data.graphicPoolWindowTitle;Grafikpool;Graphic Pool; -
BasiGX.view.container.Redlining;config.data.drawPointsBtnText;Zeichne Punkte;Draw Points; -
BasiGX.view.container.Redlining;config.data.drawLinesBtnText;Zeichne Linien;Draw Lines; -
